danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,cluster
0.567,0.814,-5.29,0.0478,0.0845,0.0,0.117,0.427,126.075,4U1EHsGyntgipJRdKJnLSa,253054,3
0.301,0.928,-5.654,0.0621,0.00999,0.889,0.129,0.687,160.536,0pGSzhaIAQluUQlGXOUND8,195524,7
0.727,0.198,-14.749,0.03,0.657,8.87e-06,0.119,0.378,101.794,0kKcoVPFH2o1Ca63jUSxYy,213107,4
0.79,0.41,-13.241,0.0343,0.263,0.00314,0.174,0.815,112.345,4eGHlplaq1ME8oetnTuFFf,159000,6
0.646,0.492,-7.933,0.0942,0.566,0.755,0.0886,0.97,182.048,7Ib9tVAfhwzHQxrp2G7u4e,168787,7
0.239,0.909,0.631,0.0771,0.356,0.0958,0.369,0.158,165.404,18OB8P9DAP4aF6mq9vMYp8,180117,0
0.327,0.412,-8.511,0.029,0.489,7.72e-06,0.308,0.173,86.419,0xLoYaRyQxTDR7kNIo69B3,262200,4
0.241,0.271,-11.07,0.0295,0.535,0.0189,0.0894,0.135,140.321,5cMu0fY68DhLsruhwJsAH8,376750,4
0.555,0.286,-11.817,0.0308,0.88,0.000123,0.0901,0.34,133.832,027Cx1BYoS9zyjcOq9KKtM,200967,4
0.246,0.421,-13.686,0.0405,0.983,0.823,0.668,0.654,94.644,6aqoT1UARZujGwUrh1WwEv,55013,2
0.352,0.824,-4.911,0.0345,0.174,0.0411,0.177,0.385,116.072,6s6nuBUe2alx3Rfk9JLPij,362520,3
0.349,0.795,-4.133,0.0758,0.0102,0.000138,0.0812,0.542,148.985,5U2m76qAMdr3gXI0g6ptlG,231987,0
0.591,0.246,-12.141,0.039,0.728,1.01e-06,0.0753,0.56,120.132,3QyPsavxL681NX7SPVGd5T,165133,4
0.483,0.199,-11.396,0.0748,0.966,9.82e-06,0.097,0.21,95.985,19SdhLuzelv8dJAwT2vHIU,297456,4
0.759,0.75,-3.86,0.0368,0.18,1.13e-05,0.0918,0.622,126.2,1erDnUVgnPJPRKm9Ox2k7h,208040,1
0.563,0.681,-5.492,0.0446,0.543,0.0,0.0668,0.51,185.015,0e8yDOLNpqqefC1Vl7D1lx,231750,0
0.726,0.716,-2.973,0.0483,0.0766,0.0,0.103,0.869,169.661,5g0NDZemlL3yKm5iBrtn41,316656,1
0.325,0.304,-11.545,0.0371,0.182,0.714,0.0914,0.0978,99.303,68PCWuIZbnvnm1PNIHRR6K,27120,2
0.307,0.784,-3.016,0.0586,0.00724,5.02e-06,0.464,0.434,151.708,0fiB5cRA2lngpF06X1Ou4u,212200,0
0.617,0.642,-4.774,0.0346,0.366,0.0,0.0497,0.784,143.399,2DlBKIc6XugYSmhP75h1BF,318133,1
0.36,0.659,-7.677,0.0387,0.315,0.134,0.0414,0.801,120.048,4wTMuxfp8TExxdSLsOXUgZ,271933,6
0.689,0.858,-3.051,0.116,0.24,0.0,0.134,0.458,99.994,70LZEb53nsMaarHxqaGevI,216244,1
0.4,0.119,-18.146,0.0645,0.834,0.0,0.109,0.223,81.32,1O8jVjF78N1gXmU7CGoryX,340133,4
0.47,0.978,-5.399,0.0727,0.0261,1.09e-05,0.356,0.503,117.906,7lmeHLHBe4nmXzuXc0HDjk,210133,0
0.494,0.37,-13.598,0.0608,0.636,0.0,0.352,0.591,138.734,0MoZADdiiC9yzcWpBbNYAC,197600,4
0.169,0.133,-10.833,0.04,0.905,0.00649,0.1,0.0627,74.79,7uhQl3uwZGzvwcNx0HHuC0,2459613,9
0.706,0.798,-4.812,0.039,0.0766,6.34e-06,0.0547,0.977,147.793,20ALzGYIms47sEOjbPcBIy,221507,1
0.41,0.733,-4.998,0.138,0.149,0.00014,0.0732,0.253,189.448,4idzSQmwe8ftqdQBzzpiQi,220040,0
0.625,0.835,-6.476,0.0491,0.0831,0.0842,0.0999,0.876,118.641,5rnCU9iGOM2rQZZssa87Cg,662773,1
0.758,0.616,-3.471,0.311,0.503,0.0,0.103,0.494,165.906,177WEvlLsCc0FzCTWslawr,176488,8
0.647,0.482,-8.591,0.0262,0.29,0.0,0.232,0.437,142.648,3xx0jE52PbtvwXgNaBUdch,219080,6
0.822,0.362,-7.462,0.0411,0.16,0.0,0.313,0.159,119.903,0ZAbupc7jAQpG9IxojQ3s3,229667,3
0.202,0.163,-21.842,0.0407,0.993,0.00312,0.0891,0.0381,129.982,2PEtUqjchsuwfOnbcg2C1h,831533,4
0.612,0.735,-5.074,0.0282,0.00202,0.00118,0.328,0.783,126.326,1OutzYv6YiN93lrT3pJsWR,226053,1
0.453,0.956,-2.471,0.061,0.0336,0.0,0.312,0.365,122.074,50njrxTVfwLSMAScpu0hmU,373387,3
0.51,0.837,-3.815,0.0598,0.007,6.45e-05,0.544,0.213,141.899,5Z4Y3i1QvoFxtzH00M0axA,210000,5
0.517,0.535,-10.156,0.0341,0.0969,0.932,0.148,0.0626,130.05,1C5qvCudVEAnnZzNtrkz1m,158680,7
0.546,0.529,-10.511,0.0583,0.0862,6.5e-06,0.124,0.247,107.331,2Gyc6e2cLxA5hoX1NOvYnU,237787,3
0.785,0.702,-4.517,0.0464,0.643,0.0,0.175,0.569,116.021,3JTtZUOiZljuWbNiasfHB6,167640,6
0.502,0.837,-4.731,0.0448,0.0444,0.0,0.101,0.362,144.108,4ZPdnqOaT0kkrsl9ppWc1V,216512,0
0.85,0.942,-4.738,0.0784,0.266,3.15e-06,0.342,0.902,107.818,2ttUbhePgGQQKAe5vxQVG4,203027,1
0.269,0.944,-4.319,0.498,0.00347,0.314,0.0813,0.16,173.777,4NYLwtMh2FrJGerLfJRsRY,287312,8
0.563,0.942,-7.185,0.0636,0.1,1.12e-06,0.972,0.766,123.95,7Am9Up3SUt8oLNXMLqIEPt,211707,5
0.299,0.621,-5.8,0.0438,0.33,0.0,0.104,0.266,185.537,42X0uRpzqXXHJzX0mzThGL,199080,0
0.537,0.384,-8.268,0.0265,0.293,0.0,0.095,0.156,127.92,2ML2gqL8WYP70utD7JuO8i,342626,3
0.488,0.944,-6.076,0.0635,0.000281,0.601,0.496,0.3,146.0,5RxKqRKJva5ZcVa0ltdxuX,300227,7
0.642,0.805,-5.68,0.0295,0.00335,9.71e-05,0.0724,0.888,117.669,3GvjSNnV16MKMR9cgibIwe,168093,1
0.597,0.233,-7.849,0.0573,0.815,0.0,0.133,0.577,165.932,3e0wuieH4pCO4ycMEVV0zI,237960,4
0.645,0.713,-5.355,0.0393,0.00835,0.0,0.113,0.566,74.989,2Z8WuEywRWYTKe1NybPQEW,214507,1
0.602,0.793,-4.043,0.0767,0.172,0.0,0.069,0.283,90.093,1dXCXb006YbPSAajh6qhaF,188139,3
0.431,0.876,-6.109,0.0658,0.0771,1.81e-05,0.0998,0.519,160.0,2lfmRyTLtsTCkLwMQcFSQk,316987,0
0.388,0.516,-10.105,0.0431,0.0622,0.000924,0.102,0.358,128.252,2JE9Xp5V9UiK39JbKXGqWV,365933,3
0.601,0.868,-15.304,0.0809,0.000533,0.878,0.369,0.15,127.98,6rHdPKh6wKi12z7DwJNWzW,200867,7
0.473,0.833,-4.996,0.0423,0.00781,2.99e-05,0.0737,0.705,175.02,1WMBlpjhd3AUQiNfJOzfIl,200627,0
0.261,0.572,-5.48,0.0323,0.00363,0.00134,0.158,0.0382,114.052,3PMRp8jPVeTyKPmuu4JFah,333027,3
0.709,0.572,-11.165,0.0641,0.0463,0.0738,0.13,0.518,131.996,36meE3FrlfHJmc1Yi37JQx,270395,6
0.403,0.757,-9.931,0.0371,0.0496,0.848,0.305,0.573,157.957,4DE6Wkt9fW7R5e9gJGWQim,315973,7
0.17,0.349,-10.992,0.04,0.545,0.000341,0.341,0.115,184.057,7fu3lFEf8dVfFuvKxhTPwP,177144,4
0.674,0.636,-6.951,0.0412,0.437,7.83e-05,0.0788,0.881,110.719,6jmSxg0lOMQrReRffc3IxF,237040,6
0.854,0.768,-4.086,0.339,0.0554,0.0,0.041,0.633,106.07,14DwbS9OjC4E5Ar91vE787,257067,8
0.657,0.901,-5.785,0.0561,0.036,8.48e-05,0.0852,0.458,122.032,1kAZRlWm6J5ONy4FwVhvyL,340400,3
0.58,0.376,-7.012,0.0252,0.784,0.000659,0.118,0.0872,104.996,42i1pGtSyPVXNX71oW8dyg,212027,4
0.882,0.842,-4.534,0.0933,0.0136,0.0345,0.262,0.682,138.02,29ufIwomYfLbWBxPMdaUZm,328707,1
0.425,0.717,-6.498,0.0274,0.334,0.0,0.29,0.522,96.694,79XydftulVlguuLGL1me8Z,255200,3
0.59,0.887,-2.634,0.0353,0.0504,0.0,0.132,0.679,120.061,3jSyE8r8vgg8fmwojoMzql,184387,1
0.739,0.971,-6.443,0.0345,0.00935,0.783,0.288,0.767,113.111,6LU9Z9Sif4Lpu1B4PAwCuj,159467,7
0.785,0.736,-2.969,0.0488,0.358,0.0603,0.114,0.693,99.994,4MH4LJMoRUSl0uEzoNQ0Mo,292773,1
0.627,0.703,-4.884,0.236,0.563,0.0,0.0962,0.64,81.897,6jizk5lOUnfpaZXYMdfeC6,217307,8
0.505,0.22,-14.513,0.15,0.938,0.00351,0.103,0.228,96.645,0OTpz9cTT3BUCilO5XTs7c,193000,4
0.847,0.664,-6.225,0.164,0.124,0.0,0.278,0.828,139.977,2VBo6OXRntDFDCzeXYZq7D,230570,1
0.699,0.91,-8.029,0.125,0.19,0.00106,0.664,0.249,89.074,3ToCwT51GYA1HTDJxy7ZZX,301000,5
0.422,0.851,-4.031,0.0398,0.0339,0.0,0.152,0.667,93.649,4AH8GJVosfrbfhe5NVTAnx,259301,1
0.619,0.752,-8.885,0.0467,0.297,2.61e-06,0.271,0.686,105.814,1dclyPRUQZxf02TntXuXIA,98693,1
0.614,0.367,-15.834,0.0453,0.986,0.895,0.126,0.455,128.999,0hgxyAC3rAQfVZwfoDopUA,197760,2
0.556,0.743,-10.077,0.0458,0.217,0.000109,0.442,0.763,92.93,3Brp1GxHcHZzUfHlP5ddOB,232693,1
0.676,0.677,-12.316,0.0843,0.0083,0.248,0.167,0.296,134.158,1OwhmKEwmNIHY5Y1LxvvNY,308893,3
0.427,0.744,-5.621,0.0517,0.0125,1.86e-05,0.385,0.168,131.927,6VKqeLCP8GwsqVNgxOE59f,274821,3
0.63,0.605,-8.951,0.0414,0.484,9.29e-05,0.298,0.266,115.277,5iSEsR6NKjlC9SrIJkyL3k,295293,3
0.374,0.457,-9.859,0.0364,0.148,0.0184,0.0967,0.138,176.773,0sgpDWD8lFKaJNSFuhULyq,276453,0
0.658,0.787,-5.049,0.109,0.0532,0.0221,0.094,0.778,166.937,5xPcLp3G2eaR2rrKHKsFME,205107,0
0.352,0.906,-4.493,0.0779,0.000222,0.0,0.181,0.78,192.118,0D1ExGkm9m5QXklubnFZXp,169787,0
0.618,0.766,-6.734,0.0513,0.0238,0.000791,0.35,0.859,159.998,6xZlm7kIsfZhcv9D8cEMDM,184200,1
0.564,0.834,-3.121,0.117,0.00036,4.92e-06,0.273,0.478,135.074,7xl2ZaOnKAxJyrkIQe2S43,205387,0
0.509,0.637,-4.83,0.0471,0.0717,1.08e-05,0.0789,0.378,172.006,2aksifNn5ph8igDOkPBA02,224000,0
0.529,0.208,-13.399,0.04,0.879,1.07e-06,0.113,0.096,132.034,2Ca8ruXRZhZe81W5Loh0Ob,242293,4
0.639,0.849,-4.539,0.0644,0.0627,0.000676,0.116,0.301,94.888,5CYini7U78QpGvnSjjGkcV,188051,3
0.657,0.809,-3.982,0.0347,0.00709,0.0,0.0452,0.859,124.009,4k4qvQSDrWHeKGtAPbJPYL,211293,1
0.524,0.786,-5.832,0.0458,0.00478,0.00301,0.0862,0.572,144.089,1udac3KKzxMxaHnIATDrVS,218627,0
0.615,0.658,-7.299,0.0343,0.096,0.000911,0.205,0.293,150.093,3n69hLUdIsSa1WlRmjMZlW,227080,3
0.774,0.602,-6.931,0.0397,0.14,0.00422,0.29,0.948,113.014,6moSOpDt0m7rqdbjfT1mbu,255760,1
0.643,0.618,-7.005,0.207,0.000962,0.0345,0.0923,0.533,140.089,4OuXxJMxmTwIplxJO8MBCi,257000,8
0.536,0.68,-8.42,0.105,0.0611,0.000896,0.0541,0.36,132.94,7AeLK3CXdnS5Uj3oEL5FA5,215733,3
0.881,0.582,-14.07,0.0444,0.0789,0.00289,0.0686,0.898,119.579,3pGnvyd0UBaFKF9PYM2ULM,246133,6
0.378,0.249,-11.384,0.0953,0.826,7.47e-06,0.722,0.298,148.355,1LVNaMECODd1N411U1ELZl,304347,5
0.474,0.754,-7.853,0.0495,0.0171,0.0594,0.254,0.557,118.329,5h8LvIts3OaDyBZMuNHiuG,291773,3
0.716,0.72,-2.183,0.0319,0.307,0.0,0.135,0.464,122.512,7GQjJEwqlp6m5HNWVQd6OR,215853,1
0.56,0.538,-7.326,0.255,0.644,0.0,0.159,0.808,91.558,3LHMFgMolEbhhGBC47OuAi,56067,6
0.608,0.295,-10.744,0.194,0.468,0.278,0.324,0.147,120.584,3u0kNxqOOC8SdoODpkmoZO,131657,4
0.478,0.648,-6.265,0.0293,0.000298,0.0,0.125,0.293,136.048,5O0Cen73mzK8ifTqf4uP14,232187,3
0.66,0.698,-6.266,0.0467,0.0266,0.0,0.296,0.396,120.959,2wSQyp6VzUopSFBinRo1iD,235693,3
0.57,0.965,-3.564,0.0498,0.000656,1.22e-06,0.079,0.581,125.007,3mXiG9nAZGuMSxpPnQGxaR,197560,1
0.379,0.897,-5.375,0.222,0.775,0.0,0.945,0.801,172.673,1gdfFEnNhGoLEwN2Lxyelq,237107,5
0.487,0.645,-7.553,0.058,0.625,0.000901,0.0524,0.654,95.856,1MoEouexe0yp5yEztWE4VZ,391093,6
0.444,0.615,-7.408,0.077,0.362,0.464,0.888,0.151,119.824,4xKaAIRMff688GtmmDrvhh,348000,5
0.404,0.571,-5.069,0.0303,0.182,2.08e-05,0.129,0.29,147.01,2WZyfujzMweFLnozyUJBkW,245933,0
0.361,0.218,-17.226,0.0356,0.985,0.0,0.177,0.389,47.569,2AAtGzFF8MC55ab67yhmGU,169320,4
0.49,0.955,-4.682,0.0589,0.00211,0.0,0.151,0.488,130.021,5vzvpATBFCRmIyhXP3jYcO,173480,0
0.919,0.611,-11.609,0.195,0.352,0.0,0.125,0.813,96.972,0TVbIfwinJTwkxziajlFYY,227907,6
0.552,0.771,-6.96,0.224,0.00495,1.89e-06,0.116,0.5,96.111,05Mqo86LTHNsT1Cst5SpWQ,183737,8
0.529,0.53,-6.226,0.114,0.211,0.0,0.0851,0.512,124.749,5CrMyaGSc8jghQq6tPjyhP,232385,3
0.589,0.925,-3.953,0.0526,0.00457,0.00921,0.216,0.702,115.986,2uvTs2g5A7f01D43fbe7ZQ,252240,1
0.603,0.831,-3.443,0.0479,0.027,0.0,0.652,0.358,72.022,3blFBTA04qxh7lKisJybdv,228027,5
0.477,0.125,-10.295,0.0524,0.915,0.0,0.106,0.0703,134.74,7ckyhuUsiuWZAjs86UIB4u,326267,4
0.83,0.551,-5.974,0.0605,0.579,0.0,0.0868,0.896,113.093,3Itzlc7LMIyN1eB9Qk6dB1,148680,6
0.343,0.94,-4.068,0.156,0.103,0.0,0.376,0.888,117.714,2Q3FJOefslKB30ubrYiRjK,139200,1
0.677,0.52,-6.255,0.334,0.00277,0.0,0.0532,0.768,203.862,2SLZ2rX5773RS16mcqBxG7,193093,8
0.514,0.875,-5.181,0.0526,0.00228,0.0,0.171,0.584,81.974,5y8qfDDccV2kEn4roGPter,184733,1
0.965,0.643,-4.794,0.268,0.254,1.79e-06,0.0733,0.348,128.064,1J7px8UR9cgEeMiSJY3ixr,200779,8
0.785,0.478,-8.735,0.0419,0.0254,0.0,0.0901,0.39,134.002,76VtA90NKurNqaQpV126Ue,161200,6
0.713,0.603,-4.896,0.287,0.000759,5.51e-06,0.0453,0.799,78.027,3o8QzWsiiqTUVgBZfHgF58,236667,8
0.494,0.949,-4.452,0.0891,0.000233,0.00354,0.0917,0.637,168.071,0lOonb8Xn49VXJ1Ukb2vgh,259947,0
0.722,0.937,-3.702,0.0813,0.0458,0.00503,0.0804,0.403,126.008,1w3K9vULEEnS56XNiY9Qyj,246993,1
0.613,0.93,-5.704,0.0882,0.101,0.404,0.101,0.472,130.019,3AlcdhlEh1n9zzymRNXGfi,275040,7
0.701,0.4,-6.719,0.0381,0.864,0.0,0.107,0.51,119.681,7pcg7sM8jjPbI86bc3gyV9,227396,6
0.473,0.719,-6.735,0.0511,0.0017,0.353,0.271,0.0583,81.013,08njkW4ml00OXR3LvTYSzV,172593,3
0.437,0.16,-15.257,0.0416,0.991,0.883,0.337,0.181,137.998,1kkAr7HRnFQJKK2yDZOPnu,94904,2
0.625,0.701,-6.945,0.0418,0.463,1.53e-06,0.145,0.481,104.949,6u15SGqLToddhUCQAbYGQr,233613,6
0.418,0.281,-8.035,0.0379,0.75,0.0,0.322,0.283,128.287,7HdlpABlb0ZIVIYZoQhW5J,216611,4
0.512,0.571,-8.105,0.0232,0.0602,0.0947,0.114,0.398,144.145,3LuPGVkVZ2P3DSEukSJVO6,383880,3
0.452,0.777,-6.936,0.102,0.264,1.34e-06,0.137,0.404,119.494,22G74DQdDAeqmyQnq7YFot,278133,3
0.55,0.855,-5.032,0.285,0.169,0.00559,0.154,0.38,177.375,1OWQpo4wfNRXGm7vBe6vd3,281507,0
0.624,0.699,-5.969,0.0496,0.413,0.000298,0.137,0.555,170.026,5IWxCZRtinZvy7c6QAwc39,219047,0
0.752,0.733,-8.178,0.0385,0.0682,0.0,0.0891,0.703,118.789,0vmbJCS1WCWnj9232fyMrv,205360,1
