danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,cluster
0.334,0.477,-8.806,0.0276,0.618,4.17e-06,0.312,0.405,179.239,78WVLOP9pN0G3gRLFy1rAa,336200,0
0.39,0.649,-5.163,0.0345,0.172,0.0,0.216,0.144,121.16,0c1gHntWjKD7QShC8s99sq,299760,3
0.647,0.729,-6.251,0.0236,0.0206,0.0489,0.134,0.687,94.01,7vFv0yFGMJW3qVXbAd9BK9,249627,1
0.701,0.944,-2.986,0.0455,0.0755,0.0,0.601,0.792,128.993,5zA8vzDGqPl2AzZkEYQGKh,197707,5
0.614,0.379,-10.48,0.0476,0.607,0.000464,0.0986,0.201,107.989,6fxVffaTuwjgEk5h9QyRjy,258987,4
0.481,0.638,-5.862,0.0276,0.153,0.0,0.154,0.497,79.064,2hKdd3qO7cWr2Jo0Bcs0MA,259933,3
0.623,0.449,-13.333,0.0253,0.212,0.0,0.0613,0.572,84.383,5tVA6TkbaAH9QMITTQRrNv,256000,6
0.49,0.961,-1.595,0.398,0.0263,0.0,0.535,0.795,173.595,3lPAHV0b53zgRRm9LBgnTY,276920,8
0.583,0.621,-6.902,0.0479,0.00972,0.00106,0.181,0.399,140.036,6jG2YzhxptolDzLHTGLt7S,323480,3
0.676,0.534,-6.901,0.0831,0.0594,8.59e-06,0.256,0.156,145.082,0YpBHgZ9Pfr4fbiKkP9nj9,338413,3
0.576,0.697,-4.192,0.326,0.0286,1.15e-06,0.167,0.501,175.906,07lxDm1s8FVO4GF54Nooiz,227667,8
0.652,0.749,-5.248,0.0886,0.0848,0.0,0.604,0.651,94.103,1z6WtY7X4HQJvzxC4UgkSf,267413,5
0.426,0.584,-5.293,0.296,0.0383,0.0,0.192,0.272,193.438,557un1HgwYMuqfWGSTmnxw,192587,0
0.664,0.758,-6.583,0.21,0.00238,0.0,0.0598,0.701,99.259,0WqIKmW4BTrj3eJFmnCKMv,235933,1
0.422,0.712,-5.907,0.1,0.273,0.0,0.051,0.471,78.454,2CvOqDpQIMw69cCzWqr5yr,261160,3
0.418,0.441,-11.522,0.283,0.029,0.0707,0.306,0.172,175.928,5hgnY0mVcVetszbb85qeDg,319467,0
0.414,0.857,-4.078,0.0808,0.0287,0.00574,0.343,0.348,128.024,07nH4ifBxUB4lZcsf44Brn,212960,0
0.646,0.823,-4.123,0.0394,0.213,0.0,0.322,0.418,128.035,7MmG8p0F9N3C4AXdK6o6Eb,227267,3
0.567,0.813,-5.744,0.0581,0.0138,9.03e-06,0.125,0.114,126.044,6D5pfooPP6hi99RaXjkDsP,214912,3
0.553,0.723,-5.607,0.0453,0.102,0.0,0.212,0.473,157.998,7vWGeYZJUzBXKGPro05UXS,243707,0
0.423,0.73,-5.566,0.032,0.00495,1.13e-05,0.238,0.66,205.972,1soxUgYIZb1qx1c7o1Lc7z,254467,0
0.645,0.904,-4.532,0.0462,0.0293,0.0,0.0834,0.671,105.97,0yD66650JxhqKbW76C2qCo,225560,1
0.506,0.886,-3.225,0.0655,0.0916,0.0,0.0734,0.595,143.935,03fT3OHB9KyMtGMt2zwqCT,226867,0
0.519,0.749,-3.318,0.0405,0.271,0.0,0.119,0.29,147.905,0ZUo4YjG4saFnEJhdWp9Bt,199947,0
0.711,0.801,-3.742,0.029,0.0244,0.000113,0.135,0.956,105.006,1qwnPVOIJjAFfCc40Etb1D,205000,1
0.89,0.667,-6.862,0.0521,0.0579,2.97e-05,0.108,0.522,105.099,0d6gYlrea7zwNsjfAh9Xba,220467,1
0.573,0.495,-7.245,0.592,0.405,0.0,0.0969,0.255,179.196,1UZ25gykR30Oewh3dBRtVZ,312027,8
0.706,0.572,-5.799,0.0326,0.0262,0.0,0.585,0.574,139.982,7seTcUFOhn5caSDbiSfsp0,214726,5
0.449,0.585,-6.761,0.0268,0.0509,8.75e-05,0.0833,0.212,139.631,7wBrglFVTNCcW6IhdgBkm1,278719,3
0.919,0.506,-7.14,0.304,0.132,0.0,0.0771,0.273,97.465,2LvRR121MWFmmEGkuV2vQP,220240,8
0.722,0.687,-5.189,0.0556,0.00949,0.00413,0.0462,0.619,128.013,7m47Go71qTMBs4kTH7U8F8,373547,1
0.823,0.733,-5.474,0.0628,0.0349,0.0,0.324,0.397,97.972,4w7yrP4RAeeyhfG9nJqQvS,284387,3
0.617,0.778,-8.871,0.027,0.459,0.925,0.128,0.152,100.363,0bXpmJyHHYPk6QBFj25bYF,127920,7
0.869,0.485,-5.595,0.0545,0.246,0.0,0.0765,0.527,106.028,6EpRaXYhGOB3fj4V2uDkMJ,204502,6
0.389,0.665,-6.169,0.0644,0.178,0.000732,0.116,0.199,117.055,7lGKEWMXVWWTt3X71Bv44I,193547,3
0.6,0.81,-4.749,0.0479,0.00683,0.21,0.155,0.298,167.88,0tKcYR2II1VCQWT79i5NrW,187147,0
0.872,0.391,-9.144,0.242,0.469,4.13e-06,0.297,0.437,134.021,7m9OqQk4RVRkw9JJdeAw96,119133,8
0.773,0.68,-6.378,0.141,0.213,1.57e-05,0.122,0.497,128.062,6uFsE1JgZ20EXyU0JQZbUR,211859,1
0.625,0.726,-7.731,0.155,0.00728,0.0,0.318,0.483,103.98,6C7RJEIUDqKkJRZVWdkfkH,311867,3
0.641,0.922,-4.457,0.0786,0.0291,0.0,0.0862,0.847,146.078,3bidbhpOYeV4knp8AIu8Xn,258343,1
0.951,0.6,-4.675,0.0685,0.106,0.0,0.0712,0.822,125.04,0k2GOhqsrxDTAbFFSdNJjT,218573,1
0.652,0.698,-4.667,0.042,0.00112,0.000115,0.0886,0.47,96.021,5Q0Nhxo0l2bP3pNjpGJwV1,202067,3
0.609,0.668,-4.284,0.0367,0.0552,0.0,0.167,0.811,80.924,3DXncPQOG4VBw3QHh3S817,288600,1
0.694,0.815,-4.328,0.12,0.229,0.0,0.0924,0.813,88.931,5CtI0qwDJkDQGwXD1H1cLb,228827,1
0.908,0.621,-6.638,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,7KXjTSCq5nL1LoYtL7XAwS,177000,1
0.638,0.523,-6.664,0.357,0.00454,0.0,0.0842,0.422,139.913,6HZILIRieu8S0iqY8kIKhj,185947,8
0.791,0.582,-7.323,0.286,0.0114,0.0,0.35,0.443,162.991,1e1JKLEDKP7hEQzJfNAgPl,181812,8
0.76,0.595,-6.366,0.0391,0.00544,0.0,0.241,0.361,131.497,03tqyYWC9Um2ZqU0ZN849H,263773,3
0.757,0.848,-4.234,0.335,0.0481,0.0,0.121,0.686,139.995,2rzBvHM9h36Tpdj7Jdajka,212640,8
0.758,0.646,-4.701,0.112,0.128,0.0,0.0778,0.589,155.955,4PzovBqgnSHKd8opsP7IVM,197171,1
0.763,0.726,-6.405,0.282,0.259,0.0,0.0976,0.349,139.059,7floNISpH8VF4z4459Qo18,126346,8
0.705,0.609,-5.728,0.0729,0.694,0.0,0.234,0.718,140.058,4uhvMW7ly7tJil31YYscAN,199993,6
0.553,0.652,-6.685,0.206,0.0897,0.0,0.111,0.551,94.505,6YbhspuOar1D9WSSnfe7ds,207347,8
0.925,0.744,-5.79,0.367,0.0644,0.0,0.0888,0.656,93.02,0jSMveIWvnhDIvzqN74Uc7,243227,8
0.549,0.791,-3.535,0.133,0.0104,0.0,0.444,0.292,150.093,6u5M4jPpYkoRV4vVHDQvkd,227293,0
0.704,0.777,-5.729,0.195,0.0358,0.0,0.151,0.392,111.921,60xaS8mYBKUW4VQQ666N0T,141542,8
0.787,0.73,-6.788,0.35,0.0276,0.00157,0.0828,0.739,159.825,3ZAMtgYJFoHwJjFkhkXqKr,220293,8
0.859,0.627,-7.91,0.13,0.0388,0.000202,0.101,0.594,142.062,5uqphUYsR45kPYplrYSAQh,260453,1
0.85,0.405,-7.509,0.225,0.119,0.000118,0.0707,0.344,139.976,5tFep7dXGd7vEJ668wTPux,190312,8
0.804,0.886,-2.512,0.04,0.0837,0.0,0.266,0.789,144.946,0pSBuHjILhNEo55xK1zrRt,238587,1
0.546,0.651,-7.601,0.3,0.000739,0.0,0.235,0.646,77.878,6fAyRZ0GHuuvSOEIOwi58N,212653,8
0.762,0.576,-4.951,0.0829,0.0556,0.0,0.0866,0.316,142.096,1KhljCoJ2TgDEldnnfTHHc,221178,3
0.816,0.245,-15.617,0.414,0.616,0.000813,0.127,0.187,140.04,7EoSDrwBPUBeBEORrpvgko,138936,8
0.795,0.523,-7.165,0.0423,0.061,0.0,0.0914,0.855,133.024,5dNfHmqgr128gMY2tc5CeJ,186067,1
0.646,0.696,-5.572,0.342,0.0192,0.0,0.0762,0.625,92.88,5XJJdNPkwmbUwE79gv0NxK,207401,8
0.472,0.457,-7.23,0.336,0.13,0.0,0.0975,0.643,165.969,7wwifjNAb172PtDpKK3CoR,234215,8
